id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1267045897377992704,1267045897377992704,1590922257000,2020-05-31,16:20:57,India Standard Time,18839785,narendramodi,Narendra Modi,,"लॉकडाउन में जीवन की रफ्तार थोड़ी धीमी तो हुई है, लेकिन हमें अपने आसपास प्रकृति की समृद्ध विविधता को देखने का अवसर भी मिला है। पर्यावरण सीधा हमारे जीवन से जुड़ा है। इस पर्यावरण दिवस पर कुछ ऐसा संकल्प अवश्य लें कि प्रकृति के साथ हमारा रिश्ता और गहरा हो। #MannKiBaat pic.twitter.com/SzM5ZaoqzV",[],[],[],2214,6627,41387,['#mannkibaat'],[],https://twitter.com/narendramodi/status/1267045897377992704,False,,1,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"The pace of life in the lockdown has slowed down a bit, but we have also got an opportunity to see the rich diversity of nature around us. The environment is directly related to our lives. On this Environment Day, make sure that our relationship with nature is deepened. #MannKiBaat pic.twitter.com/SzM5ZaoqzV",hi,en
1267045786539319299,1267045786539319299,1590922230000,2020-05-31,16:20:30,India Standard Time,18839785,narendramodi,Narendra Modi,,"Some interesting details about Ayushman Bharat, the world's largest healthcare scheme which has positively impacted over a crore beneficiaries and their families. #MannKiBaat pic.twitter.com/ScNjBjQ1af",[],[],[],532,3116,16128,['#mannkibaat'],[],https://twitter.com/narendramodi/status/1267045786539319299,False,,1,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"Some interesting details about Ayushman Bharat, the world's largest healthcare scheme which has positively impacted over a crore beneficiaries and their families. #MannKiBaat pic.twitter.com/ScNjBjQ1af",en,en
1267045628304953344,1267045628304953344,1590922193000,2020-05-31,16:19:53,India Standard Time,18839785,narendramodi,Narendra Modi,,"अंतर्राष्ट्रीय योग दिवस जल्द ही आने वाला है। कोरोना संकट के दौरान लोग योग पर और अधिक गंभीरता से ध्यान दे रहे हैं। हर जगह लोगों ने योग के साथ-साथ आयुर्वेद को भी अपनाया है। सही मायने में योग Community, Immunity और Unity सबके लिए अच्छा है। #MannKiBaat pic.twitter.com/OXJRHWspqn",[],[],[],691,4445,22479,['#mannkibaat'],[],https://twitter.com/narendramodi/status/1267045628304953344,False,,1,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"International Yoga Day is coming soon. During the corona crisis, people are paying more serious attention to yoga. People everywhere have adopted Yoga as well as Ayurveda. In the true sense, Yoga Community, Immunity and Unity is good for everyone. #MannKiBaat pic.twitter.com/OXJRHWspqn",hi,en
1267045485103087616,1267045485103087616,1590922158000,2020-05-31,16:19:18,India Standard Time,18839785,narendramodi,Narendra Modi,,"किसी भी परिस्थिति को बदलना इच्छाशक्ति के साथ ही बहुत कुछ इनोवेशन पर भी निर्भर करता है। संकट की इस घड़ी में देशवासी गांवों से लेकर शहरों तक, छोटे व्यापारियों से लेकर स्टार्टअप तक, हमारी लैब्स कोरोना के खिलाफ जंग में नए-नए इनोवेशन कर रही हैं। #MannKiBaat pic.twitter.com/tJZWlZJPUA",[],[],[],502,3079,16564,['#mannkibaat'],[],https://twitter.com/narendramodi/status/1267045485103087616,False,,1,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"Changing any situation depends on a lot of innovation along with willpower. In this hour of crisis, from the countryside villages to the cities, from small traders to startups, our labs are innovating in the war against Corona. #MannKiBaat pic.twitter.com/tJZWlZJPUA",hi,en
1267045385144426496,1267045385144426496,1590922135000,2020-05-31,16:18:55,India Standard Time,18839785,narendramodi,Narendra Modi,,"देशवासियों की सामूहिक संकल्पशक्ति के साथ एक और शक्ति इस लड़ाई में हमारी सबसे बड़ी ताकत है, वह है- देशवासियों की सेवाशक्ति। #MannKiBaat pic.twitter.com/3eYutX9bnv",[],[],[],489,3118,18199,['#mannkibaat'],[],https://twitter.com/narendramodi/status/1267045385144426496,False,,1,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"Another strength with the collective resolve of the countrymen is our greatest strength in this fight, that is the service power of the countrymen. #MannKiBaat pic.twitter.com/3eYutX9bnv",hi,en
1267006484543606786,1267006484543606786,1590912860000,2020-05-31,13:44:20,India Standard Time,18839785,narendramodi,Narendra Modi,,"Connected by the Indian Ocean, united by the Indian Samosa!

Looks delicious, PM @ScottMorrisonMP! 

Once we achieve a decisive victory against COVID-19, we will enjoy the Samosas together. 

Looking forward to our video meet on the 4th. https://twitter.com/ScottMorrisonMP/status/1266952463464071171 …",['scottmorrisonmp'],['https://twitter.com/ScottMorrisonMP/status/1266952463464071171'],[],1813,12099,79213,[],[],https://twitter.com/narendramodi/status/1267006484543606786,False,https://twitter.com/ScottMorrisonMP/status/1266952463464071171,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '34116377', 'username': 'ScottMorrisonMP'}]",,"Connected by the Indian Ocean, united by the Indian Samosa!

Looks delicious, PM @ScottMorrisonMP! 

Once we achieve a decisive victory against COVID-19, we will enjoy the Samosas together. 

Looking forward to our video meet on the 4th. https://twitter.com/ScottMorrisonMP/status/1266952463464071171 …",en,en
1266982958474264578,1266982958474264578,1590907251000,2020-05-31,12:10:51,India Standard Time,18839785,narendramodi,Narendra Modi,,आप सभी को महेश नवमी की मंगलकामनाएं। यह पर्व हमें जन कल्याण के लिए प्रतिबद्ध होने की प्रेरणा देता है। देवों के देव महादेव और मां पार्वती से मेरी प्रार्थना है कि वे समस्त देशवासियों पर अपनी कृपा बनाए रखें।,[],[],[],4819,13535,114378,[],[],https://twitter.com/narendramodi/status/1266982958474264578,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"Happy Mahesh Navmi to all of you. This festival inspires us to be committed to public welfare. I pray to Mahadev, the God of Gods and Mother Parvati, to maintain my kindness to all the countrymen.",hi,en
1266965118505545728,1266965118505545728,1590902997000,2020-05-31,10:59:57,India Standard Time,18839785,narendramodi,Narendra Modi,,#MannKiBaat May 2020. Tune in. https://www.pscp.tv/w/caHm1TMyMjExNTJ8MU9kSnJxRFpaTWVHWMCfWEaxmRbGeNeeWTe0zno2N4VHXvdED6pM9lGysgZP …,[],['https://www.pscp.tv/w/caHm1TMyMjExNTJ8MU9kSnJxRFpaTWVHWMCfWEaxmRbGeNeeWTe0zno2N4VHXvdED6pM9lGysgZP'],[],1697,6681,29416,['#mannkibaat'],[],https://twitter.com/narendramodi/status/1266965118505545728,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,#MannKiBaat May 2020. Tune in. https://www.pscp.tv/w/caHm1TMyMjExNTJ8MU9kSnJxRFpaTWVHWMCfWEaxmRbGeNeeWTe0zno2N4VHXvdED6pM9lGysgZP …,en,en
1266755350138667009,1266755350138667009,1590852985000,2020-05-30,21:06:25,India Standard Time,18839785,narendramodi,Narendra Modi,,Do tune in tomorrow at 11 AM. #MannKiBaat pic.twitter.com/b71yh2NTox,[],[],['https://pbs.twimg.com/media/EZRrRMKWAAYOmfp.jpg'],2930,7803,52260,['#mannkibaat'],[],https://twitter.com/narendramodi/status/1266755350138667009,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,Do tune in tomorrow at 11 AM. #MannKiBaat pic.twitter.com/b71yh2NTox,en,en
1266693355427237894,1266693355427237894,1590838204000,2020-05-30,17:00:04,India Standard Time,18839785,narendramodi,Narendra Modi,,"Best wishes, especially to the Kashmiri Pandit community, on the very special occasion Jyeshtha Ashtami. 

With the divine blessings of Mata Kheer Bhawani, may everyone be happy, healthy and prosperous.",[],[],[],1754,11398,83173,[],[],https://twitter.com/narendramodi/status/1266693355427237894,False,,0,,,,,,,"[{'user_id': '18839785', 'username': 'narendramodi'}]",,"Best wishes, especially to the Kashmiri Pandit community, on the very special occasion Jyeshtha Ashtami. 

With the divine blessings of Mata Kheer Bhawani, may everyone be happy, healthy and prosperous.",en,en
